STT,Ten file video,Phan doan,Dien tich nut luoi (m2),Dien tich nut don (m2),Tong dien tich nut (m2),Ti le dien tich nut (%),Chi so PCI (0-100),Tinh trang mat duong (ASTM D6433)
64,nhom1.mp4,150m - 200m,0.362,0.0,0.362,1.609,95.17,Good (Tot)
65,nhom1.mp4,200m - 250m,0.123,0.01,0.133,0.5896,98.3,Good (Tot)
66,nhom1.mp4,250m - 300m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
67,nhom1.mp4,300m - 350m,0.402,0.0,0.402,1.7848,94.65,Good (Tot)
68,nhom1.mp4,350m - 400m,0.275,0.0,0.275,1.2219,96.33,Good (Tot)
69,nhom1.mp4,400m - 450m,0.046,0.0,0.046,0.204,99.39,Good (Tot)
70,nhom1.mp4,450m - 500m,0.02,0.0,0.02,0.0887,99.73,Good (Tot)
71,nhom1.mp4,500m - 550m,0.05,0.0,0.05,0.2241,99.33,Good (Tot)
72,nhom1.mp4,550m - 600m,0.079,0.0,0.079,0.3533,98.94,Good (Tot)
73,nhom1.mp4,600m - 650m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
74,nhom1.mp4,650m - 700m,0.288,0.0,0.288,1.2791,96.16,Good (Tot)
75,nhom1.mp4,700m - 750m,0.128,0.0,0.128,0.5697,98.29,Good (Tot)
76,nhom1.mp4,750m - 800m,0.021,0.0,0.021,0.095,99.72,Good (Tot)
77,nhom1.mp4,800m - 850m,0.11,0.02,0.129,0.5745,98.41,Good (Tot)
78,nhom1.mp4,850m - 900m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
79,nhom1.mp4,900m - 950m,0.277,0.0,0.277,1.2299,96.31,Good (Tot)
80,nhom1.mp4,950m - 1000m,0.126,0.0,0.126,0.5601,98.32,Good (Tot)
81,nhom3.2.mp4,0m - 50m,0.56,0.0,0.56,2.4869,92.54,Good (Tot)
82,nhom3.2.mp4,50m - 100m,0.615,0.0,0.615,2.7339,91.8,Good (Tot)
83,nhom3.2.mp4,100m - 150m,0.31,0.0,0.31,1.3787,95.86,Good (Tot)
84,nhom3.2.mp4,150m - 200m,0.393,0.0,0.393,1.7485,94.75,Good (Tot)
85,nhom3.2.mp4,200m - 250m,0.605,0.0,0.605,2.6895,91.93,Good (Tot)
86,nhom3.2.mp4,250m - 300m,0.184,0.0,0.184,0.8185,97.54,Good (Tot)
87,nhom3.2.mp4,300m - 350m,0.364,0.0,0.364,1.6183,95.15,Good (Tot)
88,nhom3.2.mp4,350m - 400m,0.377,0.0,0.377,1.6763,94.97,Good (Tot)
89,nhom3.2.mp4,400m - 450m,0.23,0.0,0.23,1.0223,96.93,Good (Tot)
90,nhom3.2.mp4,450m - 500m,0.14,0.0,0.14,0.6225,98.13,Good (Tot)
